company_name,company_rating,industry,size,type,years_old,location
Dangee Dums,3.6,FMCG,51-200 Employees,Public,13,Ahmedabad
Fiem Industries,3.8,Auto Components,501-1k Employees,Public,35,Ahmedabad
Aavas Financiers,4.0,Financial Services,5k-10k Employees,Public,13,Ahmedabad
JK Lakshmi Cement,3.9,Building Material,1k-5k Employees,Public,42,Ahmedabad
Lenskart,3.3,Internet,5k-10k Employees,Indian Unicorn,14,Ahmedabad
Ashok Leyland,4.1,Automobile,5k-10k Employees,Public,76,Ahmedabad
Somany Ceramics,4.3,Building Material,1k-5k Employees,Public,56,Ahmedabad
Electronica Finance,4.2,NBFC,1k-5k Employees,Public,34,Ahmedabad
Ice Make Refrigeration,4.2,Electrical Equipment,501-1k Employees,Public,31,Ahmedabad
Bank of America,4.4,Banking,10k-50k Employees,Fortune India 500,26,Ahmedabad
ElasticRun,3.4,Logistics,1k-5k Employees,Indian Unicorn,8,Ahmedabad
SYSKA LED Lights,2.9,Consumer Electronics & Appliances,1k-5k Employees (Global),Startup,12,Ahmedabad
ITC Hotels,4.2,Hospitality,5k-10k Employees,Public,49,Ahmedabad
Agrostar,4.0,Internet,1k-5k Employees,Startup,11,Ahmedabad
Gabriel India,4.2,Auto Components,1k-5k Employees,Public,63,Ahmedabad
Dharmaj Crop Guard,4.4,Agro Chemicals,501-1k Employees,Public,9,Ahmedabad
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,10,Ahmedabad
Shriram Finance,4.1,NBFC,50k-1 Lakh Employees,Public,45,Ahmedabad
Toyota Tsusho,4.0,Metals & Mining,501-1k Employees,Public,25,Ahmedabad
Capri Global Capital,3.7,NBFC,1k-5k Employees,Public,27,Ahmedabad
Uflex,3.8,Packaging,5k-10k Employees,Public,39,Ahmedabad
LivSpace,3.5,Architecture & Interior Design,1k-5k Employees,Indian Unicorn,9,Ahmedabad
Hindustan Unilever,4.3,FMCG,10k-50k Employees,Public,152,Ahmedabad
Reliance SMSL,4.0,BPO,1k-5k Employees,Public,17,Ahmedabad
Sharekhan,4.0,Financial Services,1k-5k Employees,Public,24,Ahmedabad
Blinkit,3.9,Internet,1k-5k Employees,Indian Unicorn,11,Ahmedabad
Metro Cash & Carry,4.3,Retail,1k-5k Employees,Forbes Global 2000,21,Ahmedabad
Aarvee Denims & Exports,3.9,Fashion & Textile,1k-5k Employees,Public,36,Ahmedabad
Life Insurance Corporation of India,4.4,Insurance,1 Lakh+ Employees,Fortune India 500,68,Ahmedabad
Meghmani Dyes and Intermediates,3.9,Financial Services,1k-5k Employees,Public,45,Ahmedabad
Moglix,3.6,Internet,501-1k Employees,Indian Unicorn,9,Ahmedabad
Future Retail,4.3,Retail,10k-50k Employees,Public,37,Ahmedabad
Tech Mahindra Business Services,3.5,BPO,5k-10k Employees,Public,21,Ahmedabad
Aditya Birla Fashion and Retail,4.2,Fashion & Textile,10k-50k Employees,Fortune India 500,36,Indore
Ppap Automotive,3.7,Auto Components,1k-5k Employees,Public,46,Noida
Pantaloons,4.2,Fashion & Textile,5k-10k Employees,Public,27,Indore
Bosch,4.3,Auto Components,5k-10k Employees,Public,138,Ahmedabad
Simplex Infrastructures,3.3,Engineering & Construction,1k-5k Employees,Public,100,Ahmedabad
Tata Chemicals,4.2,Chemicals,1k-5k Employees,Public,85,Ahmedabad
V-Guard Industries,4.4,Consumer Electronics & Appliances,1k-5k Employees,Public,47,Ahmedabad
Beardo,4.6,Beauty & Personal Care,51-200 Employees,Startup,9,Ahmedabad
HDFC Ergo General Insurance,4.0,Insurance,10k-50k Employees,Public,22,Ahmedabad
Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,65,Ahmedabad
Shoppers Stop,4.1,Retail,5k-10k Employees,Public,33,Ahmedabad
Bajaj Electricals,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,86,Ahmedabad
TVS Credit,4.5,NBFC,10k-50k Employees,Public,16,Ahmedabad
Baroda Global Shared Services,4.0,Banking,10k-50k Employees,Public,7,Ahmedabad
You Broadband,3.7,Telecom,1k-5k Employees,Public,23,Ahmedabad
IFB,3.7,Consumer Electronics & Appliances,201-500 Employees,Public,50,Ahmedabad
Marico,4.1,FMCG,1k-5k Employees,Public,36,Ahmedabad
IFB,3.7,Consumer Electronics & Appliances,201-500 Employees,Public,50,Ahmedabad
You Broadband,3.7,Telecom,1k-5k Employees,Public,23,Ahmedabad
Endurance Technologies,3.9,Auto Components,1k-5k Employees,Public,39,Ahmedabad
Adjavis Venture,3.4,Beauty & Personal Care,501-1k Employees,Public,11,Ahmedabad
Standard Chartered,3.9,Banking,10k-50k Employees,Fortune India 500,171,Ahmedabad
Honda,4.2,Automobile,10k-50k Employees,Forbes Global 2000,39,Ahmedabad
Colgate Palmolive,4.2,FMCG,1k-5k Employees,Public,87,Ahmedabad
TVS Motor,4.1,Automobile,5k-10k Employees,Public,45,Ahmedabad
Dabur,3.8,FMCG,5k-10k Employees,Public,140,Ahmedabad
Arman Financial Services,3.9,NBFC,51-200 Employees,Public,32,Ahmedabad
Physicswallah,3.8,EdTech,10k-50k Employees,Indian Unicorn,5,Ahmedabad
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,41,Ahmedabad
Ensight Business Solutions,4.6,IT Services & Consulting,201-500 Employees,Startup,12,Ahmedabad
SSTECH SYSTEM PVT.LTD,4.4,Software Product,11-50 Employees,MNC,13,Ahmedabad
Telenor,4.5,Telecom,501-1k Employees,Forbes Global 2000,15,Ahmedabad
3M,4.3,Electronics Manufacturing,1k-5k Employees,Public,37,Ahmedabad
Nayara Energy,4.3,Petrochemicals,1k-5k Employees,Fortune India 500,35,Ahmedabad
Vivo,4.1,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15,Ahmedabad
OPPO,4.0,Consumer Electronics & Appliances,10k-50k Employees,Public,20,Ahmedabad
